Year,Month,Day,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),สถานีบ้านมาบป่าแฝก (1687),สถานีบ้านลานตาเกลี้ยง (501261),Rainfall_Avg (mm)
2014,4,11,91.6,69.3,48.6,5.6,29.4,0,0.0,0.0,0.0
2014,4,12,88.8,68.5,51.9,4.4,29.4,0,0.0,0.0,0.0
2014,4,13,86.3,70.9,61.6,3,29.4,0,0.0,0.0,0.0
2014,4,14,85.5,70.5,62.6,2.5,29.4,0,0.0,0.0,0.0
2014,4,15,83.8,72.4,70.3,2.5,29.4,1.09,0.0,0.0,0.0
2014,4,16,84.9,71.6,65.4,1.4,29.4,0,0.0,0.0,0.0
2014,4,17,88.8,71.8,59.3,2.4,29.3,0,0.0,0.0,0.0
2014,4,18,89.1,72.9,60.9,3.6,29.4,0,0.0,0.0,0.0
2014,4,19,88.6,72.3,59.9,1.3,29.3,0,0.0,0.0,0.0
2014,4,20,90.4,72.9,57,3,29.3,0,0.0,0.0,0.0
2014,4,21,90.4,73.6,59,3.9,29.3,0,0.0,0.0,0.0
2014,4,22,92.1,70.9,50.9,5,29.4,0,0.0,0.0,0.0
2014,4,23,92.3,71,50.8,7.9,29.3,0,0.0,0.0,0.0
2014,4,24,91.4,70.8,51,5.9,29.3,0,0.0,0.0,0.0
2014,4,25,91.4,69.6,50.5,4.6,29.3,0,0.0,0.0,0.0
2014,4,26,89,74.1,62.5,2.5,29.3,0.76,0.0,0.0,0.0
2014,4,27,87,72.9,64.1,2.5,29.4,0.76,0.0,0.0,0.0
2014,4,28,91,70.3,50.9,3.5,29.4,0,0.0,0.0,0.0
2014,4,29,88.1,72.9,62.5,3.5,29.4,0,0.0,0.0,0.0
2014,4,30,88.6,70.3,57.4,3.9,29.3,0,0.0,0.0,0.0
2014,5,1,85.8,71.1,65.4,2.4,29.3,0.36,0.0,0.0,0.0
2014,5,2,85.8,72.8,67.8,3,29.4,0.36,0.0,0.0,0.0
2014,5,3,84.4,73.9,72.6,2.4,29.4,0.05,0.0,0.0,0.0
2014,5,4,86.1,73.8,69.5,1.6,29.4,0.8,0.0,0.0,0.0
2014,5,5,88,74.1,65.9,0.9,29.4,0,0.0,0.0,0.0
2014,5,6,86.6,73.1,65.3,2.3,29.4,0,0.0,0.0,0.0
2014,5,7,84.9,72.9,68.9,3,29.4,0,0.0,0.0,0.0
2014,5,8,88.4,70.6,59.1,6,29.4,0,0.0,0.0,0.0
2014,5,9,88.8,70.1,55,4.9,29.3,0.03,0.0,0.0,0.0
2014,5,10,89,70,55.3,7,29.3,0.05,0.0,0.0,0.0
2014,5,11,90,70.5,53.6,9.3,29.3,0.05,0.0,0.0,0.0
2014,5,12,92,72.3,53.3,7.6,29.3,0,0.0,0.0,0.0
2014,5,13,89.9,71.6,54.9,11.5,29.3,0,0.0,0.0,0.0
2014,5,14,90.5,68.4,48.9,8.8,29.3,0,0.0,0.0,0.0
2014,5,15,90.4,69.6,51.4,11.1,29.2,0,0.0,0.0,0.0
2014,5,16,91.8,70,49.9,6.3,29.3,0,0.0,0.0,0.0
2014,5,17,92,70,48.9,7.8,29.3,0,0.0,0.0,0.0
2014,5,18,87.6,71.9,60.6,5.1,29.3,0,0.0,0.0,0.0
2014,5,19,83.8,74.9,76,2.3,29.4,1.36,0.0,0.0,0.0
2014,5,20,89,70.8,55.6,5.8,29.3,0.04,0.0,0.0,0.0
2014,5,21,88.3,69.3,54,8.1,29.3,0,0.0,0.0,0.0
2014,5,22,87.9,71.6,59,4,29.3,0,0.0,0.0,0.0
2014,5,23,88.6,71,56.6,5.8,29.3,0,0.0,0.0,0.0
2014,5,24,91.5,70.5,51.4,7.3,29.3,0,0.0,0.0,0.0
2014,5,25,92.4,71.3,51.4,4.4,29.4,0,0.0,0.0,0.0
2014,5,26,89.8,71.8,56.3,3.8,29.4,0,0.0,0.0,0.0
2014,5,27,89.6,72.1,57.4,5,29.3,0,16.0,0.0,8.0
2014,5,28,84.9,74,70.4,4.4,29.4,0.12,0.0,0.0,0.0
2014,5,29,86.6,72.1,64.3,6.4,29.3,0.14,0.0,0.0,0.0
2014,5,30,87.8,72.9,62.5,6.6,29.3,0.02,0.0,0.0,0.0
2014,5,31,88.6,71.8,58.4,6.3,29.3,0,0.0,0.0,0.0
2014,6,1,85.8,74.8,70,3,29.3,0,0.0,0.0,0.0
2014,6,2,88.4,72.6,61.5,4.3,29.3,0,0.0,0.0,0.0
2014,6,3,90.1,70,52.3,9,29.2,0,0.0,0.0,0.0
2014,6,4,90.8,71,52.6,7.8,29.2,0,0.0,0.0,0.0
2014,6,5,89,71.6,57.3,11.1,29.2,0,23.0,0.0,11.5
2014,6,6,85.6,72.8,67.8,5.5,29.2,0.06,0.0,0.0,0.0
2014,6,7,81.6,76.3,83.8,0.8,29.2,1.09,0.0,0.0,0.0
2014,6,8,81.9,76.4,83.8,1.4,29.2,1.07,0.0,0.0,0.0
2014,6,9,82.5,76.1,81.4,1.6,29.2,0.38,0.0,0.0,0.0
2014,6,10,84.4,75.5,75.1,1.9,29.2,0.37,0.0,0.0,0.0
2014,6,11,82.9,74.4,76.3,3.3,29.2,1.35,0.0,0.0,0.0
2014,6,12,83.3,76.1,79.6,2,29.1,1.35,0.0,0.0,0.0
2014,6,13,81.6,76.4,85.1,0.6,29.1,0.14,38.0,0.0,19.0
2014,6,14,81.6,75.8,83.4,1.9,29.2,0.17,0.0,0.0,0.0
2014,6,15,81.1,76.9,87.6,0.5,29.2,0.45,0.0,0.0,0.0
2014,6,16,82.8,76.9,82.1,1.3,29.2,0.48,0.0,0.0,0.0
2014,6,17,83.4,77.3,82.6,0.3,29.2,0.17,1.5,0.0,0.75
2014,6,18,83.5,76.3,79.1,2.6,29.2,0.06,0.0,0.0,0.0
2014,6,19,84.8,73.1,68.9,2.3,29.3,0,0.0,0.0,0.0
2014,6,20,83.9,74.6,74,2.6,29.3,0.54,0.0,0.0,0.0
2014,6,21,84.1,73.3,71.3,3.8,29.3,0.54,0.0,0.0,0.0
2014,6,22,84.4,72.9,68.3,5.5,29.3,0,0.0,0.0,0.0
2014,6,23,85,71.8,64.9,4.8,29.3,0,0.0,0.0,0.0
2014,6,24,83.3,72.9,71.4,3.9,29.2,0.09,0.0,0.0,0.0
2014,6,25,82.8,76.1,81.1,1.1,29.3,0.44,0.0,0.0,0.0
2014,6,26,83.4,75.9,78.6,2.3,29.4,0.37,0.0,0.0,0.0
2014,6,27,85.4,72.6,66.1,7,29.4,0.06,0.0,0.0,0.0
2014,6,28,85.3,70.8,61.9,11,29.3,0,0.0,0.0,0.0
2014,6,29,86.3,70.5,60.3,8.8,29.3,0,0.0,0.0,0.0
2014,6,30,84,70.9,64.5,7.4,29.3,0,0.0,0.0,0.0
2014,7,1,83.6,71.9,67.3,3.8,29.4,0,0.0,0.0,0.0
2014,7,2,85.4,70.8,62.3,5,29.3,0,0.0,0.0,0.0
2014,7,3,85.5,70.9,62,8.6,29.3,0,0.0,0.0,0.0
2014,7,4,87,70.8,59.4,7,29.2,0,0.0,0.0,0.0
2014,7,5,87.6,70.9,58.4,8.1,29.3,0,0.0,0.0,0.0
2014,7,6,87,71.9,60.8,11,29.3,0,0.0,0.0,0.0
2014,7,7,85.5,71.6,63.3,9.9,29.2,0,0.0,0.0,0.0
2014,7,8,86.5,71.1,60.1,8.6,29.2,0,0.0,0.0,0.0
2014,7,9,84.6,70.3,62.3,8.4,29.2,0,0.0,0.0,0.0
2014,7,10,83.8,72.3,68.8,3.6,29.2,0,0.0,0.0,0.0
2014,7,11,82.8,73.6,75,1.8,29.3,0.08,0.0,0.0,0.0
2014,7,12,85.5,74.3,70.4,1.5,29.2,0.08,0.0,0.0,0.0
2014,7,13,83.3,75.8,79.9,0.8,29.3,1.2,0.0,0.0,0.0
2014,7,14,81.4,75.9,83.5,2.5,29.3,1.38,0.0,0.0,0.0
2014,7,15,81.3,74.9,81.9,2.9,29.3,0.89,0.0,0.0,0.0
2014,7,16,81.5,73.5,78.4,3.3,29.3,0.78,0.0,0.0,0.0
2014,7,17,84.8,71.6,65,7.1,29.3,0.23,0.0,0.0,0.0
2014,7,18,81.8,72.9,73.9,6.4,29.2,0.04,0.0,0.0,0.0
2014,7,19,81.9,72.5,74.3,4.5,29.3,0.05,0.0,0.0,0.0
2014,7,20,79.8,73.5,81.5,1.9,29.3,0.26,0.0,0.0,0.0
2014,7,21,78.3,74,87.4,1.1,29.3,0.42,0.0,0.0,0.0
2014,7,22,81.8,72.1,74.4,3.8,29.3,0.35,0.0,0.0,0.0
2014,7,23,83,71.5,67.6,5.6,29.3,0.06,0.0,0.0,0.0
2014,7,24,84.4,71.8,66.4,6.6,29.3,0,0.0,0.0,0.0
2014,7,25,83.6,73.9,74,2.4,29.3,0.13,0.0,0.0,0.0
2014,7,26,81,76.1,85.8,0.9,29.3,0.4,0.0,0.0,0.0
2014,7,27,80,73.9,82.9,1.3,29.4,1.39,0.0,0.0,0.0
2014,7,28,79.9,73.5,82,1.3,29.3,1.24,0.0,0.0,0.0
2014,7,29,83.8,71.8,67.4,6.8,29.3,0.07,0.0,0.0,0.0
2014,7,30,84,71.8,67,4.8,29.3,0,0.0,0.0,0.0
2014,7,31,84.4,71.6,66.3,8.3,29.3,0,0.0,0.0,0.0
2014,8,1,84.5,70.9,63.5,8.1,29.3,0,0.0,0.0,0.0
2014,8,2,82.5,71,68,7.3,29.3,0,0.0,0.0,0.0
2014,8,3,80.9,73,77.3,1.5,29.3,0.13,0.0,0.0,0.0
2014,8,4,82.6,73.1,73,4.8,29.3,0.13,0.0,0.0,0.0
2014,8,5,81.8,71.9,72.6,5.6,29.3,0.25,0.0,0.0,0.0
2014,8,6,83.3,71,67.3,5.4,29.3,0,0.0,0.0,0.0
2014,8,7,81.9,74,77.4,1.6,29.3,0.03,0.0,0.0,0.0
2014,8,8,81.5,75.3,82.3,1.3,29.3,0.06,0.0,0.0,0.0
2014,8,9,82.3,73,74.6,3.9,29.4,0.06,0.0,0.0,0.0
2014,8,10,81.9,72.9,74.5,2.6,29.4,0,0.0,0.0,0.0
2014,8,11,83,70.6,66.1,7.4,29.3,0,0.0,0.0,0.0
2014,8,12,83.1,71.1,67.6,7.1,29.3,0,0.0,0.0,0.0
2014,8,14,83.8,71,65.9,6.1,29.4,0,0.0,0.0,0.0
2014,8,15,83.9,73.1,71.1,3.9,29.4,0,0.0,0.0,0.0
2014,8,16,80.9,73.5,79.4,1.6,29.4,0.56,0.0,0.0,0.0
2014,8,17,84.9,72.3,68.4,4.4,29.4,0.56,0.0,0.0,0.0
2014,8,18,87,71.8,60.6,5.8,29.4,0,0.0,0.0,0.0
2014,8,19,86,72.3,63.6,5.5,29.4,0,0.0,0.0,0.0
2014,8,20,84.3,71.3,65,5.8,29.4,0,0.0,0.0,0.0
2014,8,21,80.4,73.4,79.5,1.6,29.4,0.02,0.0,0.0,0.0
2014,8,22,81.5,74.3,79.5,2.6,29.4,0,0.0,0.0,0.0
2014,8,23,84,73.6,72.3,0.4,29.4,0,0.0,0.0,0.0
2014,8,24,85.8,72.1,63.9,7,29.4,0,0.0,0.0,0.0
2014,8,25,85.3,72.8,66.3,8.3,29.3,0.32,0.0,0.0,0.0
2014,8,26,82.1,73.9,76.6,3.6,29.3,0.62,0.0,0.0,0.0
2014,8,27,81.6,75.1,82.4,0.6,29.3,2.15,0.0,0.0,0.0
2014,8,28,81.3,74.5,81.3,3.8,29.3,1.66,0.0,0.0,0.0
2014,8,29,81.1,72.9,77.4,2.1,29.3,1.66,0.0,0.0,0.0
2014,8,30,80.6,73.5,79.3,1,29.4,0.47,0.0,0.0,0.0
2014,8,31,81.4,74.5,80.4,1.5,29.3,0.09,0.0,0.0,0.0
2014,9,1,85.3,71.8,64.5,5.8,29.3,0.09,0.0,0.0,0.0
2014,9,2,82.3,74.3,77.4,2.9,29.3,0.19,0.0,0.0,0.0
2014,9,3,78.3,75.1,90.5,0,29.4,0.66,0.0,0.0,0.0
2014,9,4,80.6,73.6,80.3,4.1,29.4,1.02,0.0,0.0,0.0
2014,9,5,82.4,71.5,70.3,4.3,29.3,0.03,0.0,0.0,0.0
2014,9,6,84.3,72.1,68.3,3.8,29.3,0,0.0,0.0,0.0
2014,9,7,84,71.6,66.9,5.4,29.4,0,0.0,0.0,0.0
2014,9,8,84.8,71.4,65.3,7,29.3,0,0.0,0.0,0.0
2014,9,9,84.9,71.8,65.3,6,29.3,0,0.0,0.0,0.0
2014,9,10,85.5,72.4,65.5,3.8,29.3,0,0.0,0.0,0.0
2014,9,11,85.1,73.9,70.4,3.3,29.4,0.08,0.0,0.0,0.0
2014,9,12,85.3,72.5,66.3,7.3,29.3,0.08,0.0,0.0,0.0
2014,9,13,86.4,71.8,62.3,7.6,29.3,0,0.0,0.0,0.0
2014,9,14,86.1,71.3,61.5,6.9,29.3,0.23,0.0,0.0,0.0
2014,9,15,86.6,72.5,63.5,6.3,29.3,0.24,0.0,0.0,0.0
2014,9,16,85.3,71,62.9,10.3,29.2,0,0.0,0.0,0.0
2014,9,17,84.4,71.3,64.5,8.8,29.2,0,0.0,0.0,0.0
2014,9,18,80.4,72.6,78.1,2.6,29.4,0.31,0.0,0.0,0.0
2014,9,19,83.9,72.1,68.3,5.1,29.4,0.31,0.0,0.0,0.0
2014,9,20,86.4,70.8,61,7,29.4,0,0.0,0.0,0.0
2014,9,21,86.1,71.6,62.9,6.8,29.4,0,0.0,0.0,0.0
2014,9,22,84.5,70.5,63.5,6.4,29.4,0.04,0.0,0.0,0.0
2014,9,23,85.5,70.9,61.9,10.3,29.4,0,0.0,0.0,0.0
2014,9,24,84.8,72.6,68.4,4,29.4,0,66.0,0.0,33.0
2014,9,25,79.6,75,86.3,0.3,29.4,3.29,0.0,0.0,0.0
2014,9,26,80.6,76,85.9,1.5,29.4,0.41,0.0,0.0,0.0
2014,9,27,82,77.5,87,0,29.4,0.16,0.5,0.0,0.25
2014,9,28,86,75.3,70.8,3.3,29.4,0.16,0.0,0.0,0.0
2014,9,29,82.5,76.1,82.5,1,29.4,0.47,0.0,0.0,0.0
2014,9,30,81.8,75,81.3,0.3,29.4,0.57,0.0,0.0,0.0
2014,10,1,80.4,75.9,86.6,0.8,29.4,0.37,0.0,0.0,0.0
2014,10,2,81.3,74.6,81.8,1.3,29.4,0.46,0.0,0.0,0.0
2014,10,3,83.4,75.6,79.3,1.4,29.4,0.09,0.0,0.0,0.0
2014,10,4,83.6,74.8,76.1,0.9,29.4,0,0.0,0.0,0.0
2014,10,5,82.8,73.6,76,1.6,29.4,0,0.0,0.0,0.0
2014,10,6,78.3,73.8,86.3,2.1,29.4,1.66,0.0,0.0,0.0
2014,10,7,79.9,71.6,78,0.9,29.4,0.14,0.0,0.0,0.0
2014,10,8,81.5,73,76.9,1,29.4,0,0.0,0.0,0.0
2014,10,9,80,73.9,83.3,1.6,29.4,0,0.0,0.0,0.0
2014,10,10,80.3,75,84.9,1.3,29.4,0.36,4.0,0.0,2.0
2014,10,11,84.3,73.3,70.8,1.4,29.4,0.36,0.0,0.0,0.0
2014,10,12,80.8,74.4,81.4,1.8,29.4,0.33,0.0,0.0,0.0
2014,10,13,81,73.4,78.6,0.6,29.5,0.33,0.0,0.0,0.0
2014,10,14,81.1,72.5,76.8,0.4,29.5,0,0.0,0.0,0.0
2014,10,15,80,73,79.5,2.3,29.5,0,0.0,0.0,0.0
2014,10,16,79,71.8,80,1,29.5,0,0.0,0.0,0.0
2014,10,17,79.4,71.4,78.8,0.9,29.5,0,0.0,0.0,0.0
2014,10,18,81.1,72.4,76,0.4,29.5,0,0.0,0.0,0.0
2014,10,19,80.6,74.4,81.5,0.6,29.4,0,0.0,0.0,0.0
2014,10,20,78.1,74.1,87.8,1.9,29.5,0.15,0.0,0.0,0.0
2014,10,21,79.9,74.1,83.4,1.8,29.5,0.26,18.0,0.0,9.0
2014,10,22,79,75,88.6,0.9,29.5,2.8,0.0,0.0,0.0
2014,10,23,78.4,73.8,86.5,1.8,29.5,3.24,0.0,0.0,0.0
2014,10,24,77.8,74.5,89.8,0.9,29.5,1.42,0.0,0.0,0.0
2014,10,25,79,73.6,84.8,1.1,29.5,1.42,0.0,0.0,0.0
2014,10,26,82,75,80.5,0.5,29.5,0,0.0,0.0,0.0
2014,10,27,82.4,75.3,79.6,0.9,29.5,0,0.0,0.0,0.0
2014,10,28,83.1,74.8,77.8,0.6,29.4,0,0.0,0.0,0.0
2014,10,29,80.5,75.4,84.4,1.3,29.4,0.02,0.0,0.0,0.0
2014,10,30,81.8,75.9,83,2,29.4,0.02,0.0,0.0,0.0
2014,10,31,82,75.4,81.3,1,29.4,0,0.0,0.0,0.0
2014,11,1,82.9,75.6,80.3,1,29.4,0,0.0,0.0,0.0
2014,11,2,81,76.3,85.9,0,29.4,0,0.0,0.0,0.0
2014,11,3,81.9,74.1,78.5,1.8,29.5,0,0.0,0.0,0.0
2014,11,4,79.5,72.3,79.6,0.3,29.5,0,0.0,0.0,0.0
2014,11,5,77.8,75.1,91.9,1.1,29.5,0.94,0.0,0.0,0.0
2014,11,6,77.9,75,91,0.8,29.5,1.07,0.0,0.0,0.0
2014,11,7,80.8,75.5,85.1,1.1,29.5,0.35,0.0,0.0,0.0
2014,11,8,81.9,75.6,82,1.5,29.5,0,0.0,0.0,0.0
2014,11,9,80.1,74.9,85.4,0.6,29.5,0.15,0.0,0.0,0.0
2014,11,10,81.3,75.5,83.9,0.8,29.5,0.15,0.0,0.0,0.0
2014,11,11,82,73.9,78.4,0.3,29.5,0,0.0,0.0,0.0
2014,11,12,81.8,74.6,79.9,0.6,29.5,0,0.5,0.0,0.25
2014,11,13,81.1,74.1,80.1,0.8,29.5,0,0.0,0.0,0.0
2014,11,14,80.4,73.8,81.6,1.5,29.5,0,0.0,0.0,0.0
2014,11,15,79.8,72.3,79.4,1.5,29.5,0,0.0,0.0,0.0
2014,11,16,79.9,72.6,80,1.1,29.5,0,0.0,0.0,0.0
2014,11,17,80,71.8,77.8,2.3,29.5,0,0.0,0.0,0.0
2014,11,18,78.6,70.5,78.3,1,29.6,0,0.0,0.0,0.0
2014,11,19,78,68.8,75.4,1.5,29.6,0,0.0,0.0,0.0
2014,11,20,75.6,68,78.4,0.9,29.5,0,0.0,0.0,0.0
2014,11,21,75.9,68,78.3,0.8,29.5,0,0.0,0.0,0.0
2014,11,22,76.4,68.8,79.4,0.5,29.5,0,0.0,0.0,0.0
2014,11,23,76.8,68.3,76.9,1.1,29.5,0,0.0,0.0,0.0
2014,11,24,75.8,67.3,77.5,1,29.5,0,0.0,0.0,0.0
2014,11,25,75.9,66.5,75.5,1.4,29.4,0,0.0,0.0,0.0
2014,11,26,78.3,68.4,74.3,1.8,29.4,0,0.0,0.0,0.0
2014,11,27,80,70.4,74.5,0.8,29.4,0,0.0,0.0,0.0
2014,11,28,80.8,71.1,73.8,1,29.4,0,0.0,0.0,0.0
2014,11,29,80.8,69.8,71.9,0.4,29.4,0,0.0,0.0,0.0
2014,11,30,78.9,66,67.3,2.6,29.4,0,0.0,0.0,0.0
2014,12,1,76.9,64.5,67.5,1.4,29.4,0,0.0,0.0,0.0
2014,12,2,78.9,64.6,63.6,3.8,29.4,0,0.0,0.0,0.0
2014,12,3,80,70.9,74.5,1.1,29.4,0,0.0,0.0,0.0
2014,12,4,78.8,72,80.6,0.6,29.5,0,0.0,0.0,0.0
2014,12,5,77.8,73,85.1,0.4,29.5,0.28,0.0,0.0,0.0
2014,12,6,80.1,72.4,78.6,1,29.5,0.28,0.0,0.0,0.0
